1	CC(C)(C)OC(=O)CCCc1ccc(N(CCCl)CCCl)cc1	bbbp1	SZXDOYFHSIIZCF-UHFFFAOYSA-N
1	CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23	bbbp2	GSDSWSVVBLHKDQ-UHFFFAOYSA-N
1	CC(O)=NCCCOc1cccc(CN2CCCCC2)c1	bbbp3	FAXLXLJWHQJMPK-UHFFFAOYSA-N
1	Cc1onc(-c2ccccc2Cl)c1C(O)=N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12	bbbp4	LQOLIRLGBULYKD-JKIFEVAISA-N
1	CCN1CCN(C(O)=N[C@@H](C(O)=N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O	bbbp5	GCFBRXLSHGKWDP-XCGNWRKASA-N
1	CN(C)[C@@H]1C(=O)/C(=C(/O)NCN2CCCC2)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12	bbbp6	YHDPWEWZPGTMMU-XXZPYRQZSA-N
1	Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O	bbbp7	FELGMEQIXOGIFQ-UHFFFAOYSA-N
1	COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1	bbbp8	HSUGRBWQSSZJOP-RTWAWAEBSA-N
1	N=C(N)N=C(O)c1nc(Cl)c(N)nc1N	bbbp9	XSDQTOBWRPYKKA-UHFFFAOYSA-N
-1	CN1Cc2c(-c3noc(C(C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O	bbbp10	NHGAJMORWUZRDS-UHFFFAOYSA-N
1	Cc1cn([C@H]2C[C@H](F)[C@@H](CO)O2)c(=O)nc1O	bbbp11	UXCAQJAQSWSNPQ-XLPZGREQSA-N
1	ClCCl	bbbp12	YMWUJEATGCHHMB-UHFFFAOYSA-N
1	CC(C)(C)N=C(O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)N=C(O)C(CC(=N)O)NC(=O)c1ccc2ccccc2n1	bbbp13	QWAXKHKRTORLEM-UHFFFAOYSA-N
1	CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1	bbbp14	USSIQXCVUWKGNF-UHFFFAOYSA-N
1	CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1	bbbp15	IDBPHNDTYPBSNI-UHFFFAOYSA-N
1	CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1	bbbp16	RDOIQAHITMMDAJ-UHFFFAOYSA-N
1	CN1C2CCC1CC(OC(=O)[C@H](CO)c1ccccc1)C2	bbbp17	RKUNBYITZUJHSG-LGGPCSOHSA-N
1	COc1ccc(Cl)cc1C(O)=NCCc1ccc(S(=O)(=O)NC(O)=NC2CCCCC2)cc1	bbbp18	ZNNLBTZKUZBEKO-UHFFFAOYSA-N
1	N=c1nnc(-c2cccc(Cl)c2Cl)c(N)[nH]1	bbbp19	PYZRQGJRPPTADH-UHFFFAOYSA-N
1	CCCC(C)C	bbbp20	AFABGHUZZDYHJO-UHFFFAOYSA-N
1	C[C@H](N)Cc1ccccc1	bbbp21	KWTSXDURSIMDCE-QMMMGPOBSA-N
-1	CN(C)Cc1ccc(CSCCN=c2nc(O)c(Cc3ccc4ccccc4c3)c[nH]2)o1	bbbp22	UWWCRSMIORHGLM-UHFFFAOYSA-N
1	CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2	bbbp23	VWPOSFSPZNDTMJ-UCWKZMIHSA-N
1	CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1	bbbp24	GGCSSNBKKAUURC-UHFFFAOYSA-N
-1	CCN=C(NC#N)NCCSCc1ncccc1Br	bbbp25	QSVQYESUCVTVDQ-UHFFFAOYSA-N
